student_id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,attendance_percentage,average_score,performance_level
974,Male,Group E,Master's degree,Free/Reduced,,88.0,37.0,28.0,74.43,51.0,Medium
975,Female,Group C,Master's degree,Free/Reduced,,19.0,43.0,64.0,77.4,42.0,Low
976,Female,Group E,Associate degree,Free/Reduced,Completed,80.0,16.0,55.0,76.86,50.333333333333336,Medium
977,Female,Group E,High school,Free/Reduced,,53.0,30.0,81.0,71.41,54.666666666666664,Medium
978,Female,Group D,Bachelor's degree,Free/Reduced,,99.0,36.0,3.0,91.77,46.0,Low
979,Female,Group B,High school,Standard,Completed,89.0,10.0,83.0,84.71,60.666666666666664,Medium
980,Female,Group A,Bachelor's degree,Standard,Completed,18.0,91.0,71.0,62.56,60.0,Medium
981,Female,Group B,Some college,Standard,,59.0,4.0,90.0,93.55,51.0,Medium
982,Female,Group E,Associate degree,Free/Reduced,,36.0,63.0,49.0,67.48,49.333333333333336,Low
983,Female,Group B,Some college,Free/Reduced,,2.0,75.0,38.0,99.17,38.333333333333336,Low
984,Male,Group D,Master's degree,Free/Reduced,Completed,91.0,2.0,34.0,75.07,42.333333333333336,Low
985,Female,Group A,Associate degree,Standard,,85.0,55.0,24.0,84.66,54.666666666666664,Medium
986,Female,Group D,Master's degree,Standard,,18.0,62.0,77.0,63.11,52.333333333333336,Medium
987,Female,Group A,Some college,Standard,Completed,52.0,37.0,43.0,73.79,44.0,Low
988,Female,Group E,Bachelor's degree,Free/Reduced,Completed,45.0,51.0,46.0,92.09,47.333333333333336,Low
989,Female,Group A,Master's degree,Standard,,79.0,1.0,39.0,79.09,39.666666666666664,Low
990,Female,Group A,High school,Standard,Completed,55.0,89.0,30.0,96.18,58.0,Medium
991,Female,Group A,Bachelor's degree,Free/Reduced,,69.0,1.0,68.0,83.01,46.0,Low
992,Female,Group B,Bachelor's degree,Standard,,100.0,11.0,80.0,97.14,63.666666666666664,Medium
993,Female,Group B,Some college,Standard,Completed,30.0,39.0,73.0,99.3,47.333333333333336,Low
994,Female,Group E,Some college,Standard,,52.0,1.0,42.0,78.16,31.666666666666668,Low
995,Female,Group A,Associate degree,Free/Reduced,,33.0,79.0,54.0,82.61,55.333333333333336,Medium
996,Male,Group C,Associate degree,Standard,Completed,30.0,93.0,15.0,93.4,46.0,Low
997,Male,Group E,High school,Free/Reduced,,59.0,56.0,67.0,68.86,60.666666666666664,Medium
998,Female,Group A,Bachelor's degree,Free/Reduced,Completed,10.0,46.0,68.0,94.47,41.333333333333336,Low
999,Female,Group A,High school,Standard,,99.0,35.0,41.0,83.68,58.333333333333336,Medium
1000,Male,Group B,High school,Standard,Completed,5.0,3.0,50.0,89.02,19.333333333333332,Low
1001,Female,Group E,Some college,Free/Reduced,Completed,26.0,74.0,49.0,63.19,49.666666666666664,Low
1002,Male,Group A,High school,Free/Reduced,Completed,6.0,23.0,83.0,90.65,37.333333333333336,Low
1003,Male,Group A,High school,Free/Reduced,Completed,48.0,81.0,5.0,72.43,44.666666666666664,Low
1004,Male,Group E,Master's degree,Free/Reduced,Completed,95.0,51.0,74.0,92.21,73.33333333333333,Medium
1005,Male,Group C,Associate degree,Free/Reduced,Completed,71.0,100.0,52.0,80.37,74.33333333333333,Medium
1006,Male,Group E,Associate degree,Standard,,59.0,61.0,16.0,70.98,45.333333333333336,Low
1007,Female,Group E,Bachelor's degree,Free/Reduced,,32.0,1.0,56.0,98.11,29.666666666666668,Low
1008,Male,Group C,Associate degree,Standard,Completed,46.0,14.0,66.0,90.6,42.0,Low
1009,Female,Group E,Bachelor's degree,Free/Reduced,,43.0,74.0,15.0,99.43,44.0,Low
1010,Female,Group A,Master's degree,Standard,Completed,78.0,90.0,51.0,74.58,73.0,Medium
1011,Male,Group E,Associate degree,Free/Reduced,Completed,49.0,48.0,99.0,85.97,65.33333333333333,Medium
1012,Male,Group C,Master's degree,Standard,,93.0,86.0,89.0,84.46,89.33333333333333,High
1013,Female,Group D,Associate degree,Standard,Completed,21.0,34.0,87.0,87.5,47.333333333333336,Low
1014,Male,Group E,Associate degree,Free/Reduced,,46.0,93.0,33.0,61.53,57.333333333333336,Medium
1015,Male,Group B,Master's degree,Free/Reduced,Completed,92.0,46.0,83.0,71.67,73.66666666666667,Medium
1016,Female,Group A,High school,Standard,Completed,47.0,51.0,80.0,96.37,59.333333333333336,Medium
1017,Female,Group A,High school,Standard,,29.0,82.0,19.0,76.95,43.333333333333336,Low
1018,Male,Group B,High school,Standard,Completed,1.0,59.0,50.0,98.43,36.666666666666664,Low
1019,Female,Group B,High school,Free/Reduced,Completed,49.0,51.0,55.0,68.54,51.666666666666664,Medium
1020,Male,Group E,Associate degree,Free/Reduced,Completed,46.0,76.0,50.0,99.9,57.333333333333336,Medium
1021,Male,Group B,Some college,Free/Reduced,,26.0,47.0,52.0,87.9,41.666666666666664,Low
1022,Male,Group D,Master's degree,Free/Reduced,,70.0,22.0,48.0,91.06,46.666666666666664,Low
1023,Female,Group C,Some college,Standard,,26.0,11.0,3.0,75.87,13.333333333333334,Low
1024,Female,Group B,Some college,Free/Reduced,,84.0,40.0,17.0,96.28,47.0,Low
1025,Female,Group B,Bachelor's degree,Free/Reduced,,12.0,28.0,35.0,81.82,25.0,Low
1026,Female,Group D,High school,Free/Reduced,Completed,54.0,69.0,34.0,87.24,52.333333333333336,Medium
1027,Female,Group A,Associate degree,Free/Reduced,,16.0,50.0,29.0,63.79,31.666666666666668,Low
1028,Male,Group A,High school,Free/Reduced,,74.0,22.0,62.0,85.27,52.666666666666664,Medium
1029,Male,Group E,High school,Standard,Completed,58.0,30.0,81.0,95.16,56.333333333333336,Medium
1030,Male,Group D,Some college,Free/Reduced,Completed,9.0,20.0,20.0,67.13,16.333333333333332,Low
1031,Male,Group C,Bachelor's degree,Standard,,32.0,23.0,51.0,89.51,35.333333333333336,Low
1032,Female,Group C,High school,Free/Reduced,Completed,77.0,71.0,95.0,61.02,81.0,High
1033,Male,Group D,Master's degree,Free/Reduced,Completed,36.0,8.0,68.0,97.05,37.333333333333336,Low
1034,Female,Group C,Master's degree,Free/Reduced,Completed,7.0,21.0,40.0,99.32,22.666666666666668,Low
1035,Male,Group A,High school,Free/Reduced,,32.0,3.0,53.0,74.17,29.333333333333332,Low
1036,Female,Group C,Some college,Standard,Completed,6.0,76.0,86.0,64.28,56.0,Medium
1037,Female,Group C,Some college,Standard,Completed,33.0,97.0,29.0,86.34,53.0,Medium
1038,Male,Group D,Associate degree,Free/Reduced,,70.0,51.0,90.0,61.19,70.33333333333333,Medium
1039,Male,Group D,Bachelor's degree,Standard,Completed,6.0,100.0,55.0,79.3,53.666666666666664,Medium
1040,Male,Group C,Some college,Standard,Completed,40.0,27.0,78.0,70.87,48.333333333333336,Low
1041,Male,Group B,Associate degree,Free/Reduced,,99.0,89.0,40.0,78.93,76.0,High
1042,Female,Group D,Master's degree,Standard,,54.0,97.0,13.0,60.73,54.666666666666664,Medium
1043,Male,Group E,Master's degree,Standard,,6.0,14.0,20.0,62.06,13.333333333333334,Low
1044,Male,Group E,Master's degree,Free/Reduced,Completed,83.0,7.0,97.0,60.64,62.333333333333336,Medium
1045,Female,Group A,High school,Free/Reduced,,17.0,47.0,89.0,84.77,51.0,Medium
1046,Male,Group C,Bachelor's degree,Standard,,42.0,98.0,24.0,82.4,54.666666666666664,Medium
1047,Male,Group B,Associate degree,Free/Reduced,Completed,77.0,87.0,49.0,69.33,71.0,Medium
1048,Male,Group A,Bachelor's degree,Free/Reduced,Completed,39.0,51.0,94.0,85.87,61.333333333333336,Medium
1049,Male,Group C,High school,Free/Reduced,Completed,52.0,54.0,52.0,95.37,52.666666666666664,Medium
1050,Male,Group D,Master's degree,Standard,Completed,13.0,36.0,47.0,71.09,32.0,Low
1051,Female,Group E,Associate degree,Free/Reduced,Completed,20.0,51.0,69.0,93.28,46.666666666666664,Low
1052,Male,Group B,Some college,Free/Reduced,,56.0,54.0,47.0,86.5,52.333333333333336,Medium
1053,Male,Group E,Bachelor's degree,Standard,,49.0,11.0,3.0,61.35,21.0,Low
1054,Male,Group D,Bachelor's degree,Standard,,45.0,18.0,23.0,75.01,28.666666666666668,Low
1055,Male,Group C,Some college,Standard,Completed,25.0,78.0,30.0,80.31,44.333333333333336,Low
1056,Male,Group D,Master's degree,Standard,,90.0,56.0,82.0,89.27,76.0,High
1057,Female,Group D,High school,Standard,Completed,23.0,93.0,74.0,71.49,63.333333333333336,Medium
1058,Male,Group E,Bachelor's degree,Free/Reduced,Completed,49.0,36.0,28.0,99.31,37.666666666666664,Low
1059,Female,Group B,Some college,Standard,,41.0,75.0,4.0,87.38,40.0,Low
1060,Female,Group D,Associate degree,Free/Reduced,,91.0,82.0,81.0,74.91,84.66666666666667,High
1061,Male,Group E,Some college,Standard,Completed,42.0,97.0,50.0,63.88,63.0,Medium
1062,Male,Group B,Master's degree,Free/Reduced,Completed,31.0,6.0,74.0,67.25,37.0,Low
1063,Male,Group C,Master's degree,Free/Reduced,,87.0,91.0,84.0,79.5,87.33333333333333,High
1064,Male,Group C,Master's degree,Standard,,5.0,54.0,50.0,79.79,36.333333333333336,Low
1065,Female,Group A,Associate degree,Standard,Completed,73.0,27.0,82.0,90.71,60.666666666666664,Medium
1066,Male,Group E,Associate degree,Standard,Completed,49.0,92.0,52.0,89.05,64.33333333333333,Medium
1067,Male,Group B,Associate degree,Standard,Completed,6.0,51.0,88.0,68.05,48.333333333333336,Low
1068,Male,Group D,Associate degree,Standard,Completed,28.0,83.0,63.0,83.8,58.0,Medium
1069,Male,Group C,Some college,Standard,,33.0,60.0,34.0,60.82,42.333333333333336,Low
1070,Male,Group B,Associate degree,Free/Reduced,,6.0,74.0,11.0,75.94,30.333333333333332,Low
1071,Male,Group E,Associate degree,Free/Reduced,Completed,80.0,38.0,50.0,90.56,56.0,Medium
1072,Female,Group A,Some college,Free/Reduced,Completed,76.0,22.0,89.0,75.98,62.333333333333336,Medium
1073,Female,Group C,Associate degree,Free/Reduced,,57.0,51.0,54.0,93.42,54.0,Medium
1074,Male,Group B,Master's degree,Free/Reduced,Completed,84.0,51.0,68.0,99.05,67.66666666666667,Medium
1075,Male,Group B,Master's degree,Standard,Completed,49.0,83.0,82.0,84.29,71.33333333333333,Medium
1076,Male,Group B,Bachelor's degree,Standard,Completed,72.0,10.0,90.0,65.8,57.333333333333336,Medium
1077,Female,Group E,Master's degree,Free/Reduced,Completed,44.0,65.0,37.0,75.19,48.666666666666664,Low
1078,Male,Group E,High school,Free/Reduced,Completed,46.0,12.0,28.0,60.38,28.666666666666668,Low
1079,Female,Group E,High school,Standard,Completed,76.0,76.0,11.0,84.11,54.333333333333336,Medium
1080,Male,Group D,High school,Standard,,80.0,40.0,18.0,92.86,46.0,Low
1081,Male,Group B,Some college,Standard,Completed,71.0,51.0,8.0,85.2,43.333333333333336,Low
1082,Male,Group C,Master's degree,Standard,,72.0,14.0,81.0,91.44,55.666666666666664,Medium
1083,Male,Group E,High school,Free/Reduced,,72.0,55.0,28.0,92.0,51.666666666666664,Medium
1084,Female,Group E,Bachelor's degree,Free/Reduced,,39.0,53.0,2.0,94.04,31.333333333333332,Low
1085,Female,Group B,Some college,Standard,Completed,29.0,30.0,86.0,70.67,48.333333333333336,Low
1086,Male,Group E,Bachelor's degree,Standard,Completed,61.0,60.0,29.0,94.85,50.0,Medium
1087,Male,Group D,Master's degree,Free/Reduced,Completed,70.0,57.0,57.0,86.16,61.333333333333336,Medium
1088,Female,Group D,Associate degree,Free/Reduced,,16.0,86.0,87.0,71.59,63.0,Medium
1089,Female,Group E,Bachelor's degree,Free/Reduced,,4.0,59.0,52.0,99.49,38.333333333333336,Low
1090,Female,Group B,Associate degree,Standard,Completed,80.0,52.0,100.0,98.01,77.33333333333333,High
1091,Female,Group B,Master's degree,Free/Reduced,Completed,0.0,85.0,100.0,82.98,61.666666666666664,Medium
1092,Male,Group B,Bachelor's degree,Standard,,79.0,60.0,3.0,93.73,47.333333333333336,Low
1093,Female,Group A,Bachelor's degree,Standard,,80.0,79.0,50.0,70.46,69.66666666666667,Medium
1094,Male,Group E,Some college,Standard,,93.0,41.0,53.0,76.64,62.333333333333336,Medium
1095,Female,Group B,Some college,Free/Reduced,Completed,30.0,28.0,50.0,67.36,36.0,Low
1096,Female,Group D,High school,Free/Reduced,,34.0,83.0,15.0,80.8,44.0,Low
1097,Female,Group C,Master's degree,Standard,,71.0,91.0,12.0,79.84,58.0,Medium
1098,Female,Group C,Bachelor's degree,Free/Reduced,,29.0,26.0,50.0,68.51,35.0,Low
1099,Female,Group B,Bachelor's degree,Standard,Completed,49.0,43.0,55.0,86.91,49.0,Low
1100,Male,Group C,Some college,Free/Reduced,Completed,14.0,92.0,52.0,64.71,52.666666666666664,Medium
1101,Male,Group C,Some college,Standard,Completed,97.0,4.0,50.0,62.47,50.333333333333336,Medium
1102,Female,Group A,Master's degree,Standard,,55.0,51.0,24.0,75.4,43.333333333333336,Low
1103,Female,Group D,Some college,Free/Reduced,,59.0,52.0,65.0,76.39,58.666666666666664,Medium
1104,Male,Group D,Associate degree,Free/Reduced,,26.0,51.0,29.0,72.79,35.333333333333336,Low
1105,Female,Group A,Associate degree,Standard,,1.0,37.0,2.0,70.32,13.333333333333334,Low
1106,Female,Group A,Associate degree,Free/Reduced,Completed,73.0,43.0,22.0,73.55,46.0,Low
1107,Male,Group C,Associate degree,Standard,,63.0,52.0,28.0,66.54,47.666666666666664,Low
1108,Female,Group E,Master's degree,Standard,,4.0,1.0,40.0,76.14,15.0,Low
1109,Female,Group C,Bachelor's degree,Standard,Completed,90.0,53.0,93.0,96.18,78.66666666666667,High
1110,Male,Group A,Associate degree,Standard,,67.0,83.0,50.0,68.98,66.66666666666667,Medium
1111,Male,Group D,Some college,Standard,,12.0,76.0,20.0,87.38,36.0,Low
1112,Male,Group C,Associate degree,Standard,,80.0,89.0,90.0,65.67,86.33333333333333,High
1113,Female,Group E,Master's degree,Standard,Completed,84.0,34.0,23.0,74.16,47.0,Low
1114,Male,Group C,Some college,Standard,,22.0,45.0,94.0,72.85,53.666666666666664,Medium
1115,Male,Group B,Associate degree,Free/Reduced,Completed,49.0,71.0,50.0,97.48,56.666666666666664,Medium
1116,Male,Group C,Bachelor's degree,Free/Reduced,,49.0,91.0,64.0,77.12,68.0,Medium
1117,Male,Group A,Some college,Standard,Completed,78.0,78.0,0.0,87.62,52.0,Medium
1118,Male,Group D,Some college,Standard,Completed,77.0,54.0,53.0,84.1,61.333333333333336,Medium
1119,Male,Group D,Bachelor's degree,Standard,Completed,72.0,71.0,71.0,65.64,71.33333333333333,Medium
1120,Female,Group A,Some college,Free/Reduced,,36.0,10.0,33.0,97.58,26.333333333333332,Low
1121,Female,Group B,Associate degree,Standard,,29.0,28.0,79.0,73.83,45.333333333333336,Low
1122,Male,Group A,Some college,Standard,Completed,92.0,68.0,90.0,61.79,83.33333333333333,High
1123,Male,Group C,Associate degree,Standard,Completed,22.0,62.0,67.0,72.02,50.333333333333336,Medium
1124,Male,Group A,Bachelor's degree,Free/Reduced,,33.0,46.0,82.0,73.43,53.666666666666664,Medium
1125,Female,Group A,High school,Free/Reduced,Completed,63.0,51.0,28.0,63.71,47.333333333333336,Low
1126,Female,Group B,Bachelor's degree,Free/Reduced,,54.0,63.0,2.0,84.8,39.666666666666664,Low
1127,Female,Group C,Associate degree,Standard,,70.0,81.0,10.0,73.87,53.666666666666664,Medium
1128,Female,Group E,Master's degree,Standard,Completed,8.0,63.0,7.0,85.17,26.0,Low
1129,Female,Group E,Bachelor's degree,Free/Reduced,Completed,3.0,91.0,61.0,60.27,51.666666666666664,Medium
1130,Female,Group D,Master's degree,Standard,,65.0,11.0,32.0,99.28,36.0,Low
1131,Female,Group A,Master's degree,Free/Reduced,,90.0,11.0,7.0,66.82,36.0,Low
1132,Female,Group D,Associate degree,Free/Reduced,,32.0,35.0,24.0,86.37,30.333333333333332,Low
1133,Female,Group B,Associate degree,Standard,Completed,31.0,28.0,87.0,88.63,48.666666666666664,Low
1134,Male,Group E,High school,Standard,,43.0,10.0,25.0,66.86,26.0,Low
1135,Male,Group A,Some college,Standard,Completed,36.0,52.0,25.0,64.47,37.666666666666664,Low
1136,Male,Group B,Bachelor's degree,Standard,Completed,90.0,51.0,16.0,66.1,52.333333333333336,Medium
1137,Male,Group B,Master's degree,Free/Reduced,,91.0,84.0,90.0,69.87,88.33333333333333,High
1138,Female,Group A,Bachelor's degree,Free/Reduced,Completed,66.0,73.0,28.0,66.73,55.666666666666664,Medium
1139,Female,Group B,Master's degree,Free/Reduced,Completed,59.0,95.0,42.0,86.96,65.33333333333333,Medium
1140,Male,Group A,Some college,Free/Reduced,Completed,58.0,46.0,72.0,76.83,58.666666666666664,Medium
1141,Female,Group A,High school,Free/Reduced,Completed,35.0,32.0,77.0,81.51,48.0,Low
1142,Male,Group C,Bachelor's degree,Free/Reduced,,48.0,80.0,4.0,61.89,44.0,Low
1143,Female,Group D,Some college,Standard,,50.0,66.0,49.0,94.45,55.0,Medium
1144,Male,Group B,High school,Free/Reduced,Completed,7.0,42.0,93.0,66.82,47.333333333333336,Low
1145,Female,Group B,Bachelor's degree,Standard,Completed,49.0,17.0,55.0,74.41,40.333333333333336,Low
1146,Female,Group C,Some college,Standard,Completed,40.0,73.0,62.0,62.88,58.333333333333336,Medium
1147,Male,Group C,Associate degree,Free/Reduced,Completed,100.0,52.0,56.0,65.47,69.33333333333333,Medium
1148,Female,Group C,Bachelor's degree,Free/Reduced,Completed,37.0,38.0,91.0,86.63,55.333333333333336,Medium
1149,Male,Group E,Some college,Standard,,85.0,71.0,44.0,87.7,66.66666666666667,Medium
1150,Male,Group E,High school,Standard,,77.0,33.0,36.0,87.08,48.666666666666664,Low
1151,Male,Group E,Some college,Free/Reduced,,78.0,36.0,71.0,82.09,61.666666666666664,Medium
1152,Male,Group A,Associate degree,Free/Reduced,,49.0,40.0,78.0,98.1,55.666666666666664,Medium
1153,Female,Group B,Bachelor's degree,Standard,Completed,67.0,96.0,91.0,80.29,84.66666666666667,High
1154,Female,Group D,Bachelor's degree,Free/Reduced,Completed,17.0,48.0,35.0,77.98,33.333333333333336,Low
1155,Female,Group A,Bachelor's degree,Free/Reduced,,64.0,9.0,32.0,69.9,35.0,Low
1156,Male,Group B,Associate degree,Free/Reduced,,63.0,39.0,5.0,63.95,35.666666666666664,Low
1157,Female,Group B,High school,Free/Reduced,,11.0,17.0,75.0,81.93,34.333333333333336,Low
1158,Male,Group C,Bachelor's degree,Free/Reduced,Completed,40.0,24.0,70.0,72.6,44.666666666666664,Low
1159,Female,Group C,High school,Standard,Completed,41.0,40.0,44.0,80.96,41.666666666666664,Low
1160,Female,Group A,Some college,Free/Reduced,Completed,59.0,35.0,91.0,68.24,61.666666666666664,Medium
1161,Female,Group C,High school,Free/Reduced,,49.0,1.0,6.0,93.53,18.666666666666668,Low
1162,Male,Group B,High school,Standard,,80.0,82.0,64.0,99.99,75.33333333333333,High
1163,Female,Group C,Bachelor's degree,Standard,Completed,82.0,73.0,23.0,72.9,59.333333333333336,Medium
1164,Female,Group E,Master's degree,Free/Reduced,Completed,35.0,48.0,44.0,93.69,42.333333333333336,Low
1165,Male,Group C,Master's degree,Free/Reduced,Completed,47.0,66.0,60.0,94.92,57.666666666666664,Medium
1166,Female,Group B,Associate degree,Standard,,70.0,52.0,18.0,99.84,46.666666666666664,Low
1167,Male,Group A,Associate degree,Free/Reduced,Completed,72.0,18.0,31.0,73.71,40.333333333333336,Low
1168,Female,Group D,Master's degree,Free/Reduced,Completed,7.0,25.0,29.0,90.24,20.333333333333332,Low
1169,Male,Group C,Some college,Free/Reduced,,24.0,53.0,64.0,69.15,47.0,Low
1170,Male,Group B,Bachelor's degree,Standard,Completed,6.0,50.0,31.0,84.99,29.0,Low
1171,Female,Group D,Bachelor's degree,Free/Reduced,Completed,7.0,24.0,56.0,88.19,29.0,Low
1172,Male,Group D,Some college,Free/Reduced,Completed,87.0,16.0,19.0,89.64,40.666666666666664,Low
1173,Male,Group E,Some college,Standard,Completed,80.0,73.0,84.0,68.29,79.0,High
1174,Male,Group D,Master's degree,Free/Reduced,,75.0,60.0,82.0,93.95,72.33333333333333,Medium
1175,Male,Group B,Associate degree,Free/Reduced,Completed,30.0,45.0,93.0,76.84,56.0,Medium
1176,Male,Group B,Some college,Free/Reduced,,11.0,54.0,91.0,68.65,52.0,Medium
1177,Male,Group C,Master's degree,Free/Reduced,Completed,56.0,49.0,95.0,81.7,66.66666666666667,Medium
1178,Female,Group C,High school,Standard,,65.0,74.0,29.0,94.53,56.0,Medium
1179,Male,Group C,Bachelor's degree,Standard,Completed,11.0,10.0,86.0,98.68,35.666666666666664,Low
1180,Male,Group D,Master's degree,Free/Reduced,Completed,26.0,11.0,90.0,89.93,42.333333333333336,Low
1181,Female,Group D,Bachelor's degree,Free/Reduced,,45.0,39.0,100.0,60.22,61.333333333333336,Medium
1182,Female,Group E,Master's degree,Free/Reduced,Completed,6.0,47.0,58.0,65.39,37.0,Low
1183,Female,Group C,High school,Free/Reduced,Completed,60.0,55.0,89.0,63.05,68.0,Medium
1184,Female,Group A,Bachelor's degree,Standard,,57.0,7.0,61.0,64.05,41.666666666666664,Low
1185,Female,Group E,High school,Standard,Completed,57.0,87.0,66.0,75.32,70.0,Medium
1186,Female,Group A,Master's degree,Standard,Completed,12.0,13.0,30.0,73.54,18.333333333333332,Low
1187,Female,Group D,Some college,Free/Reduced,Completed,52.0,86.0,65.0,64.55,67.66666666666667,Medium
1188,Male,Group E,Bachelor's degree,Free/Reduced,Completed,99.0,55.0,53.0,95.29,69.0,Medium
1189,Male,Group E,High school,Free/Reduced,Completed,64.0,53.0,9.0,84.62,42.0,Low
1190,Female,Group B,Bachelor's degree,Standard,,49.0,99.0,37.0,91.86,61.666666666666664,Medium
1191,Male,Group D,Bachelor's degree,Standard,,34.0,16.0,82.0,74.86,44.0,Low
1192,Male,Group D,Bachelor's degree,Standard,Completed,93.0,44.0,30.0,76.41,55.666666666666664,Medium
1193,Male,Group E,Associate degree,Standard,Completed,94.0,4.0,28.0,72.7,42.0,Low
1194,Female,Group D,High school,Standard,,16.0,2.0,24.0,77.54,14.0,Low
1195,Female,Group E,High school,Free/Reduced,,71.0,8.0,31.0,84.42,36.666666666666664,Low
1196,Male,Group B,Bachelor's degree,Free/Reduced,,66.0,83.0,50.0,79.72,66.33333333333333,Medium
1197,Female,Group E,Some college,Free/Reduced,,9.0,19.0,44.0,93.52,24.0,Low
1198,Male,Group D,Bachelor's degree,Standard,,33.0,82.0,48.0,96.01,54.333333333333336,Medium
1199,Male,Group D,Associate degree,Free/Reduced,,85.0,20.0,86.0,78.79,63.666666666666664,Medium
1200,Male,Group E,Master's degree,Free/Reduced,Completed,3.0,79.0,17.0,69.59,33.0,Low
1201,Male,Group E,Associate degree,Standard,Completed,95.0,32.0,74.0,97.81,67.0,Medium
1202,Female,Group E,Some college,Standard,Completed,28.0,4.0,51.0,89.4,27.666666666666668,Low
1203,Female,Group C,Bachelor's degree,Standard,Completed,45.0,23.0,19.0,85.61,29.0,Low
1204,Female,Group D,High school,Free/Reduced,Completed,74.0,62.0,61.0,89.82,65.66666666666667,Medium
1205,Male,Group D,Bachelor's degree,Standard,,45.0,78.0,12.0,63.04,45.0,Low
1206,Female,Group C,Some college,Free/Reduced,,76.0,25.0,87.0,62.71,62.666666666666664,Medium
1207,Male,Group E,Master's degree,Free/Reduced,,58.0,88.0,42.0,66.12,62.666666666666664,Medium
1208,Female,Group B,Associate degree,Standard,,60.0,91.0,83.0,65.9,78.0,High
1209,Male,Group E,Master's degree,Free/Reduced,,67.0,32.0,91.0,76.83,63.333333333333336,Medium
1210,Male,Group E,Master's degree,Standard,,65.0,17.0,98.0,66.3,60.0,Medium
1211,Male,Group C,Bachelor's degree,Standard,Completed,33.0,17.0,20.0,94.18,23.333333333333332,Low
1212,Female,Group D,Associate degree,Free/Reduced,Completed,85.0,37.0,5.0,83.12,42.333333333333336,Low
1213,Female,Group E,Some college,Free/Reduced,,4.0,32.0,70.0,74.73,35.333333333333336,Low
1214,Female,Group D,Master's degree,Free/Reduced,Completed,8.0,51.0,92.0,62.78,50.333333333333336,Medium
1215,Female,Group A,Associate degree,Standard,,19.0,48.0,52.0,83.64,39.666666666666664,Low
1216,Male,Group D,Bachelor's degree,Free/Reduced,Completed,20.0,49.0,86.0,64.66,51.666666666666664,Medium
1217,Female,Group B,High school,Standard,,16.0,14.0,51.0,89.73,27.0,Low
1218,Female,Group B,Bachelor's degree,Standard,,11.0,76.0,68.0,92.11,51.666666666666664,Medium
1219,Male,Group E,Bachelor's degree,Free/Reduced,Completed,91.0,51.0,85.0,81.76,75.66666666666667,High
1220,Male,Group D,Associate degree,Free/Reduced,,81.0,97.0,8.0,65.98,62.0,Medium
1221,Male,Group E,Master's degree,Free/Reduced,Completed,66.0,67.0,95.0,91.47,76.0,High
1222,Female,Group C,Associate degree,Free/Reduced,Completed,4.0,98.0,73.0,72.31,58.333333333333336,Medium
1223,Male,Group B,High school,Standard,,59.0,18.0,45.0,68.91,40.666666666666664,Low
1224,Male,Group E,Associate degree,Free/Reduced,,52.0,94.0,50.0,78.82,65.33333333333333,Medium
1225,Male,Group C,Some college,Standard,,51.0,24.0,74.0,96.91,49.666666666666664,Low
1226,Female,Group E,Bachelor's degree,Free/Reduced,Completed,77.0,75.0,70.0,71.89,74.0,Medium
1227,Male,Group D,Master's degree,Free/Reduced,Completed,47.0,75.0,29.0,96.22,50.333333333333336,Medium
1228,Female,Group D,High school,Free/Reduced,,89.0,24.0,42.0,62.15,51.666666666666664,Medium
1229,Female,Group D,Bachelor's degree,Standard,,18.0,32.0,58.0,63.34,36.0,Low
1230,Male,Group D,Associate degree,Free/Reduced,,16.0,59.0,37.0,87.94,37.333333333333336,Low
1231,Male,Group A,Some college,Standard,,53.0,36.0,33.0,67.62,40.666666666666664,Low
1232,Female,Group C,Associate degree,Free/Reduced,,67.0,91.0,45.0,72.66,67.66666666666667,Medium
1233,Male,Group C,Bachelor's degree,Free/Reduced,,34.0,42.0,91.0,65.45,55.666666666666664,Medium
1234,Male,Group D,High school,Standard,,87.0,8.0,50.0,73.29,48.333333333333336,Low
1235,Female,Group A,Master's degree,Standard,Completed,40.0,13.0,15.0,71.22,22.666666666666668,Low
1236,Female,Group D,Bachelor's degree,Free/Reduced,Completed,12.0,2.0,38.0,89.45,17.333333333333332,Low
1237,Male,Group A,High school,Free/Reduced,,32.0,68.0,0.0,88.08,33.333333333333336,Low
1238,Female,Group D,Bachelor's degree,Standard,,14.0,55.0,97.0,98.2,55.333333333333336,Medium
1239,Male,Group B,Some college,Free/Reduced,Completed,62.0,25.0,56.0,88.98,47.666666666666664,Low
1240,Male,Group B,Associate degree,Standard,,49.0,52.0,86.0,87.79,62.333333333333336,Medium
1241,Male,Group E,Master's degree,Free/Reduced,Completed,30.0,40.0,19.0,87.77,29.666666666666668,Low
1242,Female,Group D,High school,Standard,Completed,27.0,81.0,81.0,95.32,63.0,Medium
1243,Male,Group C,Master's degree,Standard,,9.0,20.0,81.0,71.85,36.666666666666664,Low
1244,Male,Group E,Master's degree,Standard,Completed,56.0,38.0,41.0,72.0,45.0,Low
1245,Male,Group B,Master's degree,Standard,Completed,70.0,79.0,50.0,89.65,66.33333333333333,Medium
1246,Female,Group D,High school,Standard,,32.0,22.0,71.0,69.15,41.666666666666664,Low
1247,Female,Group E,High school,Free/Reduced,,6.0,92.0,33.0,96.48,43.666666666666664,Low
1248,Female,Group D,Master's degree,Free/Reduced,Completed,4.0,73.0,49.0,81.39,42.0,Low
